product_id,product_name,category,price,stock
1,Persistent logistical encryption,Electronics,18.35,140
2,Synergized real-time intranet,Clothing,116.26,377
3,Front-line context-sensitive Local Area Network,Electronics,340.28,456
4,Profit-focused secondary budgetary management,Sports,48.94,216
5,Robust full-range complexity,Electronics,20.71,111
6,Fully-configurable maximized success,Clothing,255.64,13
7,Cloned 24hour synergy,Sports,104.22,332
8,Automated systemic service-desk,Sports,213.23,229
9,Open-source multi-state leverage,Sports,143.42,445
10,Networked asynchronous toolset,Electronics,380.84,81
11,Operative empowering structure,Home & Kitchen,174.07,79
12,Public-key bottom-line structure,Clothing,478.85,172
13,Vision-oriented real-time project,Electronics,51.81,49
14,Public-key transitional algorithm,Books,424.65,309
15,Organic mission-critical success,Books,404.71,373
16,Centralized explicit workforce,Home & Kitchen,270.89,498
17,Object-based uniform throughput,Home & Kitchen,44.92,150
18,Balanced high-level initiative,Sports,443.4,185
19,Universal multimedia product,Sports,100.98,35
20,Streamlined leadingedge interface,Electronics,332.65,395
21,Decentralized bi-directional circuit,Books,492.69,437
22,Fundamental well-modulated paradigm,Clothing,434.03,194
23,Versatile bifurcated success,Books,229.97,427
24,Down-sized high-level installation,Books,86.34,181
25,Switchable global circuit,Clothing,337.06,359
26,Fully-configurable mission-critical database,Electronics,306.9,87
27,Fundamental bandwidth-monitored groupware,Sports,366.18,83
28,Stand-alone system-worthy archive,Home & Kitchen,193.44,473
29,Persevering tertiary matrix,Sports,114.48,166
30,Versatile dynamic system engine,Electronics,119.14,16
31,Fundamental global frame,Books,204.17,33
32,Team-oriented leadingedge groupware,Clothing,457.08,290
33,Organized tangible firmware,Books,111.03,255
34,Re-contextualized even-keeled policy,Home & Kitchen,443.02,329
35,Automated well-modulated challenge,Home & Kitchen,76.57,71
36,Digitized multi-state forecast,Clothing,374.01,275
37,Assimilated directional hub,Books,375.01,219
38,Re-contextualized high-level structure,Sports,203.29,112
39,Implemented fault-tolerant structure,Clothing,257.7,46
40,Diverse non-volatile productivity,Electronics,431.37,78
41,Integrated methodical structure,Clothing,397.28,216
42,Organic systematic frame,Sports,37.37,195
43,Distributed value-added workforce,Sports,498.07,270
44,Team-oriented clear-thinking circuit,Books,485.7,440
45,Robust explicit info-mediaries,Electronics,342.05,58
46,Function-based scalable emulation,Sports,376.92,393
47,Assimilated didactic paradigm,Books,61.1,222
48,Innovative client-server paradigm,Clothing,230.13,488
49,Advanced empowering hierarchy,Books,486.1,390
50,Up-sized multimedia synergy,Clothing,256.78,54
51,Programmable impactful matrices,Books,421.77,259
52,Secured composite hardware,Sports,104.25,191
53,Stand-alone coherent parallelism,Clothing,272.44,398
54,Profit-focused foreground model,Sports,459.73,306
55,Multi-layered homogeneous matrix,Books,247.36,57
56,Stand-alone composite moderator,Books,440.08,425
57,Polarized context-sensitive matrices,Books,124.28,123
58,Multi-tiered 24/7 secured line,Sports,473.78,43
59,Cloned global definition,Home & Kitchen,409.11,500
60,Integrated demand-driven definition,Sports,384.31,65
61,Distributed even-keeled portal,Home & Kitchen,473.73,84
62,Vision-oriented upward-trending utilization,Books,266.66,310
63,Decentralized solution-oriented customer loyalty,Home & Kitchen,482.39,475
64,Multi-channeled modular knowledgebase,Sports,379.09,353
65,Re-contextualized scalable access,Clothing,358.19,204
66,User-friendly zero tolerance toolset,Books,222.41,264
67,Progressive discrete support,Home & Kitchen,65.77,115
68,Exclusive high-level secured line,Electronics,173.0,301
69,Automated impactful product,Sports,119.67,112
70,Cross-platform full-range middleware,Electronics,41.06,323
71,Cloned encompassing neural-net,Electronics,119.09,463
72,Public-key user-facing monitoring,Electronics,430.65,36
73,Configurable analyzing knowledge user,Sports,123.56,342
74,Re-contextualized multi-state encryption,Home & Kitchen,111.82,67
75,Fully-configurable eco-centric website,Sports,290.64,124
76,User-centric contextually-based solution,Home & Kitchen,404.89,97
77,Streamlined dynamic emulation,Electronics,53.87,220
78,Team-oriented transitional knowledgebase,Books,215.24,239
79,Enhanced 6thgeneration portal,Electronics,338.63,330
80,Future-proofed neutral focus group,Electronics,35.93,372
81,Cross-group value-added core,Books,401.48,55
82,Upgradable asymmetric capacity,Clothing,100.64,274
83,Programmable exuding approach,Home & Kitchen,75.24,93
84,Expanded discrete encryption,Books,234.53,447
85,Reduced well-modulated paradigm,Electronics,224.9,441
86,Polarized maximized attitude,Sports,54.36,333
87,Public-key zero tolerance application,Sports,418.99,496
88,Intuitive scalable archive,Electronics,463.62,434
89,Exclusive mission-critical budgetary management,Clothing,88.15,248
90,Organic attitude-oriented leverage,Home & Kitchen,111.58,205
91,Exclusive bandwidth-monitored moratorium,Electronics,87.32,1
92,Reverse-engineered didactic policy,Home & Kitchen,137.0,401
93,Pre-emptive exuding open system,Home & Kitchen,146.9,356
94,Advanced optimal Internet solution,Sports,332.95,249
95,Customizable uniform intranet,Clothing,99.8,111
96,Vision-oriented secondary core,Electronics,292.11,277
97,Reverse-engineered scalable pricing structure,Electronics,375.49,29
98,Versatile logistical ability,Electronics,294.57,257
99,Function-based web-enabled installation,Sports,83.76,491
100,Right-sized encompassing methodology,Sports,45.57,95
